InterZone,Name,TotPop2011,ResPop2011,HHCnt2011,Easting,Northing
S02002007,Lochalsh,"2709","2656","1212","187044","826886"
S02002008,Skye South,"3410","3304","1503","164055","823332"
S02002009,Skye North East,"3445","3349","1555","147917","844191"
S02002010,Skye North West,"3322","3284","1476","140183","850407"
S02002011,Ross and Cromarty South West,"3008","2941","1401","179579","877470"
S02002012,Ross and Cromarty North West,"3226","3131","1448","212717","894149"
S02002013,Ross and Cromarty Central,"3649","3506","1502","248038","857657"
S02002014,Ross and Cromarty East,"3278","3236","1357","260681","866116"
S02002015,Muir of Ord,"3305","3274","1397","252658","850417"
S02002016,Conon,"3524","3511","1451","254582","855654"
S02002017,Dingwall,"5429","5371","2420","254514","859721"
S02002018,Black Isle South,"6314","6262","2693","269855","855037"
S02002019,Black Isle North,"3640","3625","1458","260539","859481"
S02002020,Alness,"5957","5888","2514","265100","869985"
S02002021,Invergordon,"4309","4224","1876","270324","869233"
S02002022,Seaboard,"4459","4457","1959","283259","877815"
S02002023,Tain,"3807","3783","1707","277736","882047"
S02002024,Sutherland South,"6068","5979","2816","273571","889497"
S02002025,Sutherland East,"4290","4270","2037","290486","903714"
S02002026,Caithness South,"2911","2886","1303","324798","935315"
S02002027,Wick South,"3667","3632","1741","336526","950439"
S02002028,Wick North,"3287","3220","1469","336871","951275"
S02002029,Caithness North East,"3773","3767","1601","334590","961352"
S02002030,Caithness North West,"5086","5059","2204","314629","966498"
S02002031,Thurso East,"2900","2895","1507","312226","967993"
S02002032,Thurso West,"4862","4793","2200","310689","968335"
S02002033,Sutherland North and West,"3486","3438","1665","240593","967296"
S02002034,Kilmacolm Central,"2553","2553","1176","235972","670035"
S02002035,"Kilmacolm, Quarriers, Greenock Upper East/Central","3204","3026","1263","234937","669743"
S02002036,Inverkip and Wemyss Bay,"5766","5759","2244","220725","671683"
S02002037,"West Braeside, East Inverkip and West Gourock","3193","3193","1324","222020","676520"
S02002038,Gourock Upper and West Central and Upper Larkfield,"4267","4240","2032","223704","676832"
S02002039,"Gourock Central, Upper East and IRH","4243","4243","2123","224645","676702"
S02002040,"Braeside, Branchton, Lower Larkfield and Ravenscraig","6389","6318","2615","224249","675787"
S02002041,"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl","5024","4985","2290","225669","675872"
S02002042,"Gourock East, Greenock West and Lyle Road","5084","4753","2105","226285","677478"
S02002043,Greenock West and Central,"5921","5872","3042","227133","676469"
S02002044,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton","4616","4372","1991","226353","675385"
S02002045,Greenock Upper Central,"4242","4230","2438","227516","675802"
S02002046,Greenock Town Centre and East Central,"5150","5006","2932","228098","675804"
S02002047,Greenock East,"6225","6202","2801","229327","674671"
S02002048,"Port Glasgow Upper, West and Central","5603","5557","2601","232106","674142"
S02002049,"Port Glasgow Mid, East and Central","4900","4847","2228","233741","673767"
S02002050,Port Glasgow Upper East,"5105","5105","2229","233934","672946"
S02002051,Rural South Midlothian,"2649","2616","1113","328632","662267"
S02002052,Penicuik Southeast,"3914","3898","1843","323431","660051"
S02002053,Penicuik Southwest,"3959","3914","1597","322628","660354"
S02002054,Penicuik East,"2569","2560","1096","324375","660705"
S02002055,Penicuik North,"3568","3500","1406","323474","661123"
S02002056,Pentland,"2323","2226","855","324406","662429"
S02002057,Roslin and Bilston,"3310","3301","1432","327195","663460"
S02002058,Straiton,"2519","2519","1155","327456","665811"
S02002059,Loanhead,"3668","3589","1626","328018","665841"
S02002060,Bonnyrigg South,"4862","4797","1955","329829","664479"
S02002061,Bonnyrigg North,"5692","5521","2491","330723","665281"
S02002062,Newbattle and Dalhousie,"5913","5913","2157","331744","664936"
S02002063,Eskbank,"4581","4365","1833","332256","666260"
S02002064,Shawfair,"3513","3504","1461","330893","669594"
S02002065,Thornybank,"3637","3637","1593","334180","667143"
S02002066,Dalkeith,"2861","2835","1458","333920","667215"
S02002067,Pathhead and Rural East Midlothian,"5287","5284","2203","337175","665114"
S02002068,Easthouses,"3057","3057","1236","334570","665351"
S02002069,Mayfield,"4725","4719","1987","335075","664440"
S02002070,Newtongrange,"4126","4117","1816","333839","664412"
S02002071,North Gorebridge,"2630","2630","1138","333893","662168"
S02002072,Gorebridge and Middleton,"3824","3755","1527","334639","661818"
S02002073,South Speyside and the Cabrach,"4328","4312","1889","326033","842253"
S02002074,North Speyside,"3792","3741","1656","329139","844946"
S02002075,Rural Keith and Strathisla,"3119","3117","1236","343519","852498"
S02002076,Keith and Fife Keith,"4734","4653","2181","343076","850333"
S02002077,"Cullen, Portknockie, Findochty, Drybridge and Berryhillock","5406","5366","2331","348803","868365"
S02002078,Buckie Central East,"3543","3520","1573","343277","865417"
S02002079,Buckie West and Mains of Buckie,"4534","4436","2036","341859","864804"
S02002080,"Mosstodloch, Portgordon and seaward","3675","3674","1595","335971","863972"
S02002081,"Fochabers, Aultmore, Clochan and Ordiquish","2355","2346","1067","334694","858086"
S02002082,"Heldon West, Fogwatt to Inchberry","3030","2967","1194","320800","862003"
S02002083,"Lhanbryde, Urquhart, Pitgavney and seaward","3324","3298","1421","327426","861458"
S02002084,Elgin Cathedral to Ashgrove and Pinefield,"4333","4203","1940","322122","862877"
S02002085,New Elgin East,"3871","3867","1650","322591","861580"
S02002086,New Elgin West,"4079","4075","1750","321856","861395"
S02002087,Elgin Central West,"3235","3207","1473","321035","862475"
S02002088,Elgin Bishopmill East and Ladyhill,"3441","3441","1602","322042","863814"
S02002089,Elgin Bishopmill West and Newfield,"3376","3317","1330","321496","864110"
S02002090,Lossiemouth East and Seatown,"3474","3464","1620","323330","870706"
S02002091,Lossiemouth West,"4231","3640","1467","322821","870383"
S02002092,"Burghead, Roseisle and Laich","5418","4965","2058","314387","869387"
S02002093,"Findhorn, Kinloss and Pluscarden Valley","3410","3189","1328","307567","862478"
S02002094,Forres Central East and seaward,"3721","3695","1917","303941","859135"
S02002095,Forres South West and Mannachie,"5422","5352","2368","302955","858110"
S02002096,"Rafford, Dallas, Dyke to Dava","3444","3358","1380","302776","857523"
S02002097,Arran,"4660","4448","2126","202202","630648"
S02002098,Springside and Rural,"2626","2621","1143","236972","638685"
S02002099,Irvine Tarryholme,"2984","2984","1285","233036","638735"
S02002100,Dreghorn,"3619","3562","1614","235005","638146"
S02002101,Irvine Broomlands,"2908","2908","1196","234280","638761"
S02002102,Irvine Bourtreehill,"2398","2398","998","234585","638933"
S02002103,Irvine Girdle Toll and Staneca,"4312","4312","1954","233872","640072"
S02002104,Irvine Perceton and Lawthorn,"5182","5182","1979","234484","640498"
S02002105,Irvine Castlepark North,"3627","3526","1483","232385","640730"
S02002106,Irvine Castlepark South,"3170","3166","1439","232443","640150"
S02002107,Irvine East,"3086","3086","1472","232846","639591"
S02002108,Irvine Central,"3177","3145","1629","231957","639666"
S02002109,Irvine Fullarton,"3034","2874","1597","231984","638270"
S02002110,Stevenston Ardeer,"2349","2322","1093","227311","640961"
S02002111,Saltcoats Central,"3863","3777","2113","225137","641509"
S02002112,Ardrossan Central,"3170","3111","1783","223341","642582"
S02002113,Ardrossan North West,"3130","3094","1421","222882","643463"
S02002114,Ardrossan North East,"4589","4589","1925","223863","643643"
S02002115,Saltcoats North West,"3742","3731","1572","224444","642020"
S02002116,Saltcoats North East,"5159","5040","2074","224934","642897"
S02002117,Stevenston North West,"2975","2914","1437","226375","642098"
S02002118,Stevenston Hayocks,"4206","4206","1796","227218","642428"
S02002119,Kilwinning Whitehirst Park and Woodside,"5304","5304","2069","229188","643687"
S02002120,Kilwinning Pennyburn,"3013","3013","1250","229176","642954"
S02002121,Kilwinning West and Blacklands,"4348","4231","2014","231062","643266"
S02002122,Kilwinning Central and North,"3846","3816","1756","230337","643607"
S02002123,Dalry East and Rural,"2999","2994","1451","229554","649452"
S02002124,Dalry West,"3152","3131","1333","228555","649164"
S02002125,Fairlie and Rural,"2328","2320","1048","221018","654832"
S02002126,West Kilbride and Seamill,"4783","4759","2132","220353","648164"
S02002127,Largs South,"3776","3645","1865","220764","658987"
S02002128,Largs Central and Cumbrae,"4894","4829","2575","220588","659611"
S02002129,Largs North,"4046","4009","1915","220378","660501"
S02002130,Skelmorlie and Rural,"2942","2939","1288","219602","667190"
S02002131,Kilbirnie North,"3359","3337","1450","231664","655239"
S02002132,Kilbirnie South and Longbar,"4224","4224","2064","231148","653673"
S02002133,Beith West,"3209","3198","1419","234190","653694"
S02002134,Beith East and Rural,"3957","3864","1740","235235","654055"
S02002135,Overtown,"3984","3984","1804","279976","653121"
S02002136,Netherton and Kirkhill,"3537","3450","1546","277995","654437"
S02002137,Muirhouse,"4057","4057","1892","276748","654945"
S02002138,Muirhouse and Knowetop,"6064","6059","2872","276238","655830"
S02002139,Craigneuk Wishaw,"4390","4306","2023","277944","655539"
S02002140,Pather,"3984","3984","1733","279508","654343"
S02002141,Wishaw South,"5080","4954","2323","280090","654617"
S02002142,Wishaw North,"6110","6077","2903","280080","655576"
S02002143,Coltness,"3832","3832","1689","280489","656661"
S02002144,Wishaw East,"2885","2879","1243","280925","655758"
S02002145,Newmains,"5745","5725","2444","282347","656752"
S02002146,Allanton - Newmains Rural,"3399","2804","1142","284893","657760"
S02002147,Shotts,"4481","4439","1960","286930","660286"
S02002148,Stane,"2920","2920","1339","288604","659251"
S02002149,Harthill and Salsburgh,"5392","5388","2446","289701","663995"
S02002150,Cleland,"3756","3717","1473","279805","658161"
S02002151,Newarthill,"3223","3223","1393","278241","659772"
S02002152,Carfin North,"3898","3898","1532","277469","659569"
S02002153,Clydesdale and New Stevenston,"3045","3045","1335","276349","659702"
S02002154,Carfin and Cleekhimin,"5122","5122","2112","276613","658636"
S02002155,Motherwell South,"3818","3814","2293","275257","656548"
S02002156,Ladywell,"4211","4200","1822","274765","656441"
S02002157,Motherwell West,"4068","4068","1733","274257","657453"
S02002158,Motherwell North,"3153","3099","1208","274226","657878"
S02002159,Forgewood,"5037","4965","2309","274758","658513"
S02002160,Holytown,"5254","5254","2195","276321","660116"
S02002161,Milnwood,"5031","5031","2257","274496","659822"
S02002162,Orbiston,"5314","5314","2342","273393","659019"
S02002163,Bellshill South,"4866","4866","2223","272912","659793"
S02002164,Hattonrigg,"2697","2595","1060","273919","661410"
S02002165,Bellshill Central,"3550","3550","1727","273137","660875"
S02002166,Fallside,"4900","4765","2140","270838","661143"
S02002167,Viewpark,"5711","5711","2371","271062","661709"
S02002168,Birkenshaw,"4868","4868","1874","269638","661938"
